questions,answers
they do to,they do not
she okay,i hope so
wow,let s go
what good stuff,the real you
but,you always been this selfish
have fun tonight,tons
there,where
who,joey
did you change your hair,no
hey sweet cheeks,hi joey
it s more,expensive
patrick is that a,perm
let go,you set me up
you set me up,i just wanted
what,in th for a month
in th for a month,why
you are so completely unbalanced,can we go now
where have you been,nowhere hi daddy
daddy no,just for a minute
daddy i,and where are you going
he is pretty,okay i was not sure
her favorite uncle,dead at forty one
so which dakota you from,north actually how would you
thirty two,get out
get out,how many people go here
you the new guy,so they tell me
what is the worst,you get the girl
you makin any headway,she kissed me
she kissed me,where
sure,then go get her
where ya goin,away
away,your sister here
hey do you mind,not at all
how would you do it,do what
it s about time,a deal s a deal
i just upped my price,what
what,a hundred bucks a date
a hundred bucks a date,forget it
forget it,forget her sister then
yeah,what do you think
hey,are you lost
have you seen him,who
what would he say,who cares
you think this will work,no fear
that is never been proven,neither has his heterosexuality
what is this,an attempted slit
who s that,patrick verona random skid
he always look so,block e
my grandmother s,what
you know what i mean,no
no,no what
tell me something true,i hate peas
what,no one else knows
state trooper,fallacy
fallacy,the duck
the duck,hearsay
you up for it,for
so what is your excuse,acting the way we do
acting the way we do,yes
something like that,then you screwed up
then you screwed up,how
how,you never disappointed me
put your right foot there,forget it i am stayin
wholesome,unwelcome
you are so,pleasant
who,bianca
i should do this,do what
do what,this
busy,were you in jail
were you in jail,maybe
maybe,no you were not
no you were not,then why would you ask
then why would you ask,why would you lie
kat wake up,what
who,dorsey
dorsey,i hate him
why are you doing this,i told you
sure i do,why
okay,i am fine i am
you covered in my vomit,seven thirty
pick you up friday then,oh right friday
parts of it,which parts
macbeth right,right
right,kat a fan too
kat a fan too,yeah
you think,oh yeah
hey there tired of breathing,hi
hi,cool pictures you a fan
cool pictures you a fan,yeah i guess
ever been to club skunk,yeah
what,good enough
say it,what
you are completely demented,see you next week
absolutely not,that s what i thought
have a great time honey,but who what
tumescent,you are not helping
in the microwave,make anyone cry today
she said yes,thank god
my letters of appointment,appointment to what
appointment to what,viceroy of the west indies
don alonso de bobadilla,yes i remember
may i ask by whom,bartolome and giacomo colon
how are you feeling fernando,not bad
what do you see,roofs towers palaces spires
you defend yourself admirably,for a commoner
i am not bargaining,then you are too ambitious
no,no
and also to bring medicine,chief says
chief says how many,thousands
thousands,why
i have to disagree,i knew you would
i knew you would,new worlds create new people
i believed in you,give me absolution
all of them just lies,colon do not
esdras is a jew,so was christ
that is what it says,how did you manage it
what do you read,twenty eight
six days ago yes,you must be mad
delusions and paranoia,i was all of these
no no way,but it s
you bring the cigarettes,oh sure
do not say anything,where are we going
where are we going,i am coming with you
i am coming with you,yes yes come with me
what are you doing,pouring it out
do you have coffee,in the kitchen
you better get packed,right
you considered becoming a prostitute,yes i considered it
no,what about back home
what about back home,no
so the station is empty,yeah this way
are you married,divorced
who did cause and origin,who do you think chief
yeah right,what was that korfin
are you hit,no i am okay
only one guys checked in,yeah
sorry pd only,it s okay
where is she,takin a bath
takin a bath,any i d
what is he looking for,a timer
i am gonna propose,when
when,tomorrow at lunch
tomorrow at lunch,you ready
my point exactly,i am serious here
i am serious here,so am i
why not,something back home
you thirsty,i am on duty
two heads,better than one
you are polish,my folks are
my folks are,stay here
pretty,hmmmm
watch the news,nah i musta missed it
so who s nicky,what do you want
what is your accomplishment,i kill someone famous
i kill someone famous,then do it asshole
okay til tonight,tonight
tonight,you promise
you promise,yeah i promise
yeah yeah good thing,okay
okay,see you later good luck
see you later good luck,thank you
thank you,do not be late
that is good,yeah
yeah,well that is great
hey honey,hey
alright,alright
alright,alright
alright,alright
alright,okay
okay you ready,yeah yeah jesus
so what is unique,not what who
are you married,no are you proposing
hi i am honey,where is czech girl
i am serious,shut up look
why not,put the camera down oleg
shut up,does it hurt
speak english,you said speak czech
you said speak czech,how you erase this
do not fool around,okay
a job,yes the money is good
yes the money is good,as a plumber
as a plumber,it s easy to learn
we spent it,ha ha
emil,surprise surprise
robert,what are you doing here
what are you doing here,you have got a call
i will take him,no way he is mine
he is my collar,well he killed my partner
what was that,evidence of a homicide
no go ahead,thanks appreciate it
i used an accelerant,yeah what kind
get outta here,what the hell happened
how was it,not good
it hurts aw jesus,lay down stay down bobby
he knew all along,what
mouth s clean too,clean
clean,do not blow your nose
continued,she is wonderful
hal,yes
you are kidding,no
that seems very unlikely,yes i thought so
really,yes
hi frank coming in please,right just a sec
right just a sec,okay
okay,okay come on down
continued,well what is it
yes daddy,bye bye now sweetheart
bye bye now sweetheart,goodbye daddy
where is mrs brown,she is in the bathroom
oh thank you very much,thank you
that is right,i see
that is true,thank you very much hal
this is three years old,yeah i have been busy
name,hammond
yeah,vodka
pay money,yeah dummy money
i want to drive awhile,i ai not tired yet
whaddya mean buy,pros
why,luther s on the move
what about luther,what about ganz
you stay with me,no way
what,musta got some primo bondsman
we split,not likely convict
how much,half a million
half a million,jesus
there,must be billy s girl
must be billy s girl,come on
last night,you have a good time
hey this works pretty good,thank you
thank you,want to try it again
jack,yeah
aw bullshit you heard wrong,does not look like it
three more hours,where is he
hello,hi it s me
hi it s me,fuck you
great place for lunch,yeah one of my favorites
yeah one of my favorites,you made the front page
i am all wet,what is wrong with that
hey you are right,you are hopeless
hard man to live with,how would you know
stall,what do you want
hey,shut up
how ya doin,can not complain
let her go,first the money
give it back,try and take it
five bills,five on credit
you want to go outside,naw right here s okay
how you doing man,not bad not bad
san agamat chay bet envolet,the case was stolen
what are you laughing about,napoleon small
appipulai leeloo minai,corn i lius
corn i lius,at your service
you are a monster zorg,i know
would you like a drink,no thank you
we are saved,i am fucked
good luck,of course
he is a she,you noticed
who are you,i brought the girl remember
i brought the girl remember,the girl
they really made her,perfect
it s a miracle,what is
how do i look,like shit
yeah,hey bud finger here
vito cor ni lious priest,vito cornelius
akina delutan nou shan,scuse me
hello,you little sleaze bag
you little sleaze bag,ma
yeah,have you pulled yourself together
have you pulled yourself together,not yet
,found it
it s my wife,i thought you were divorced
shit,what is it
i am not going,why not
what mission,to save the world
tell me,i love you
like love,exactly
you noticed,ok you can turn around
apipoussan,apipoussan
uh,hoppi hoppa
finished what,learning language
learning language,which one
which one,all
you hear that,cornelius
cornelius,oh god
valo massa chacha hamas,uh you are welcome
apipoulai,i suppose that means hi
thanks,you are welcome
the cash man,been here long
this is all that survived,actually only one cell survived
actually only one cell survived,have you identified it
options,wait or act
wait or act,recommendations
is that better,perfect mr president
drink,to fame salud
who are you calling,mrs christian
mrs christian,what
you are killing me,do not
you could not,you do not understand
i love you,i love you
smoking i am not smoking,your clothing reeks of it
anything harder,there s nothing harder
there s nothing harder,snuff
what the fuck,i promised him to machine
bullshit,i am telling you
dino,nobody knows anything
what are you,take out your gun
excellent,where are the women
you brought the money,right here
where is that,brooklyn do not be late
what is the problem,i am camera shy
that is five thousand dollars,is it
a fellow investor,hmm
you are a dead man,leave him alone
leave him alone,fuck off
i figured you share information,we do
call me tom,alright tom
easy enough for you,i never killed anyone
stop talking,you got absolute zero
why,because we are going there
starting to recognize a pattern,what do you want
what do you want,who is machine
who is machine,i do not know
i do not know,i want his name
do not ask questions,fuck you
celebrity films,eddie
eddie,yeah who s this
yeah who s this,i know what you did
i know what you did,what
what,i know what you did
i know what you did,who is this
is not it incredibly obvious,enlighten me
you are asking me why,i am asking
