questions,answers
the kitchen stinks,i will throw out the garbage
so dick how about getting some coffee for tonight,coffee i don t honestly like that kind of stuff
coffee i don t honestly like that kind of stuff,come on you can at least try a little besides your cigarette
come on you can at least try a little besides your cigarette,what s wrong with that cigarette is the thing i go crazy for
what s wrong with that cigarette is the thing i go crazy for,not for me dick
would you mind waiting a while,well how long will it be
thanks a lot that is the favor i was going to ask you for,the pleasure is mine
i swear i m going to kill you for this,what s wrong didn t you think it was fun
never but thank you for inviting me,come on you ll feel better after we hit the showers
certainly how about spaghetti with clams and shrimps,sounds delicious ok she will try that
can you manage chopsticks,why not see
why not see,good mastery how do you like our chinese food
what is wrong with msg it helps to bring out the taste of the food,according to some studies it may cause cancer
i am exhausted,okay let s go home
good evening welcome to cherry s do you have a reservation,no we do not
no we do not,how many of you please
how many of you please,six including two kids
six including two kids,i am afraid all the big tables are taken
what kind of food do you like,i like chinese food
i like chinese food,but your american
but your american,we have a lot of chinese restaurants in america
would you like to take a look at the menu sir,yes thank you
yes thank you,would you care for a drink before you order
would you care for a drink before you order,a glass of qingdao beer
a glass of qingdao beer,yes sir i will bring it over have you decided what you would like sir
yes sir i will bring it over have you decided what you would like sir,will you make some recommendation
can i help you sir what do you need,i need a packet of cigarettes please
i need a packet of cigarettes please,of course sir no problem
of course sir no problem,thanks
could i have my bill please,certainly sir
certainly sir,i am afraid there s been a mistake
i am afraid there s been a mistake,i am sorry sir what seems to be the trouble
may i sit here,by all means
is everything to your satisfaction,no the steak was recommended but it is not very fresh
they must be popular again this season,yes i believe they are here are something that might interest you
dahua s market how can i help you,where is your store located
where is your store located,we are on nanjing road next to the theatre
we are on nanjing road next to the theatre,right i will be right over
farmer s pet store,can you please tell me where you are located
can you please tell me where you are located,sure we are off singing road close to the bank
sure we are off singing road close to the bank,thank you i know where that is
i think so are not the four cs cut clarity carat and color,you have got it tell me a little bit about what you might be wanted
would you like a lift home,that would be great thanks
mike s mechanics can i help you,yes how do i get to your shop from chilin
yes we charge cents for water,that is fine could you give me some more napkins too
that is fine could you give me some more napkins too,sure do you need anything else
sure do you need anything else,yes i would also like some sweet and sour sauce and pepper
yes i would also like some sweet and sour sauce and pepper,i will put all that into the bag for you
i will put all that into the bag for you,do i owe you anything for the sauce pepper and napkins
do i owe you anything for the sauce pepper and napkins,no there is no charge for those
golden taxi cabs how may i help you,can you send a cab to pick me up
can you send a cab to pick me up,sure where are you
sure where are you,i am on the corner of the fifth and mane
ok i am sorry it took so long,i understand
i understand,the phone has been ringing off the hook today
